,V2_X10_Y20,V1_X10_Y20,NIFTY50_Benchmark
2020-07-21,28.827130794899112,42.808039718428525,22.284031131261585
2020-07-22,28.801367905546414,42.531167605009635,22.156135595958325
2020-07-23,29.297300705173424,43.155088517744765,22.22152703181999
2020-07-24,28.854915913864154,42.65783104899512,22.34222393750198
2020-07-27,28.19212183885249,42.43868547176732,22.01064819661289
2020-07-28,28.981968665739856,43.425833180298426,22.639526906306173
2020-07-29,28.891645863791936,43.534256319691856,22.84403301246021
2020-07-30,28.399265947118035,43.15634933636892,23.01194062372378
2020-07-31,28.29348880197926,43.026090546698455,23.37999774717794
2020-08-03,27.443325593819235,42.277404050051224,23.005484710993752
2020-08-04,28.16552294990966,42.76536214639035,23.351181489475792
2020-08-05,27.504688042313784,42.65226632737529,22.940000394493488
2020-08-06,27.249642021174548,42.781922044478684,22.824127932656225
2020-08-07,26.164936885619493,42.4658316205049,22.60324742560076
2020-08-10,26.682731522568346,42.693283572373275,22.6909618858816
2020-08-11,26.906680444552823,42.77645940138668,22.97237430935386
2020-08-12,26.374363752859797,42.42144260430045,22.749966757814065
2020-08-13,26.097923293139512,42.48565961285773,22.68069333977525
2020-08-14,25.60385241305314,42.030052320148094,22.295068102530834
2020-08-17,26.17106638210087,42.776550695964424,22.932589035002614
2020-08-18,26.313591492329856,43.23418171902611,23.097507416450846
2020-08-19,26.4470374087874,43.44423796932628,23.017132174407262
2020-08-20,26.264695242811676,43.2675883005627,23.022634046469403
2020-08-21,26.998344866350465,43.760937113555734,23.419253657628158
2020-08-24,27.64121483938109,44.168974423776945,23.86636542703302
2020-08-25,27.333888719907605,44.38613582183078,23.955110967528093
2020-08-26,27.442260633024105,44.51731569090831,23.67592706592092
2020-08-27,27.699330567850833,44.58022274133735,23.982482912600144
2020-08-28,28.753499342964606,45.099138019255335,24.287485201895585
2020-08-31,27.404987421773864,43.71045179069961,22.798258033053752
2020-09-01,27.926491921158323,44.53958031480103,23.38783552095254
2020-09-02,27.987156946527513,44.659736124997984,23.670318284596135
2020-09-03,27.74044779613327,44.886002070933294,23.658350458634246
2020-09-04,26.872949296673276,43.89815309147234,23.511152935444635
2020-09-07,26.143350335056816,43.509666266179494,23.26252774765689
2020-09-08,25.336458075703703,42.77861384212483,22.607678421728174
2020-09-09,24.698610571381742,42.51862768056376,22.1134554648875
2020-09-10,25.06954877263081,42.93309260518714,21.911591232842586
2020-09-11,24.74429647655856,42.943416892863986,21.731678731894434
2020-09-14,23.89326799899516,42.5617487950523,21.467241040730634
2020-09-15,24.282923929339084,42.88029493883283,21.911999758116885
2020-09-16,24.517480244823766,43.19426163616691,22.210274550009835
2020-09-17,23.936084141922322,42.81351965072797,22.109622337034974
2020-09-18,23.93890870639641,43.09517063192918,22.43979071625468
2020-09-21,22.467099511614876,41.50015363668294,20.478190105123794
2020-09-22,22.14078767691754,41.20814106607777,19.92912302054868
2020-09-23,22.075624357726852,40.87138679865598,19.66848276586819
2020-09-24,20.910323068987257,39.58777188414429,18.25228497533842
2020-09-25,21.76270173442818,40.720474231416894,19.272961654567865
2020-09-28,22.977826934088675,41.86368005182517,20.38301970179377
2020-09-29,22.66109958280196,41.735578948913535,20.17483303498555
2020-09-30,22.179635107287645,41.35925044140587,19.898500701623846
2020-10-01,22.998160060747864,42.2588408552709,20.70135019838524
2020-10-02,22.933433587883734,42.218819383772946,20.57411227459123
2020-10-05,22.657504607321854,42.190977308351506,20.537523150600244
2020-10-06,23.17916516141343,42.552349548326276,20.8268830060905
2020-10-07,23.047177354729765,42.50320501773004,20.770019357411982
2020-10-08,22.697624674531582,42.41418292154655,20.76187649477259
2020-10-09,22.379568103215597,41.8820210780003,20.654240362808252
2020-10-12,22.480487015115692,41.745879732516535,20.503581137925696
2020-10-13,22.37436981153198,41.63817166053683,20.500685190828904
2020-10-14,22.41855435187039,42.016073987292614,20.993182648351862
2020-10-15,21.506881572956125,41.139938358145486,20.075574113437746
2020-10-16,21.689994236987697,41.44851009525132,19.839497309262754
2020-10-19,21.621242252931317,41.243007135498644,19.833930190562654
2020-10-20,21.639933362858187,41.35063424518528,20.02597066360594
2020-10-21,22.474390591158432,41.94614929606468,20.521176358595916
2020-10-22,22.33738038713351,41.97375623194808,20.505266685791135
2020-10-23,22.902751030612656,42.294470320533286,20.40712719307749
2020-10-26,22.541629782219896,41.69822067016575,19.843524928993705
2020-10-27,23.030327988797406,42.3479183701519,20.346530387428285
2020-10-28,22.928761724103587,42.06306088394997,19.964638521187595
2020-10-29,22.22623759278044,41.49551209210767,19.534194763262256
2020-10-30,22.13498916895762,41.28488853520551,19.5142105822663
2020-11-02,22.639859875742687,41.95072434119567,19.935908708710713
2020-11-03,23.245989555628398,42.61747947473435,20.46668837595249
2020-11-04,22.95622244105857,42.62004357187061,20.674609570536973
2020-11-05,23.89296264598737,44.005506024456295,21.813826202189233
2020-11-06,24.17856686804567,44.45074328054317,22.029928526177798
2020-11-09,24.502719189258215,45.02182053540316,22.55942642933082
2020-11-10,24.620222979334592,44.84313423049551,22.214152220124994
2020-11-11,25.082155155019038,45.67790708874435,22.87328383485918
2020-11-12,25.007523555434076,46.02881103216006,22.885442622930796
2020-11-13,24.88144043159506,46.26522534185402,23.06429723419754
2020-11-16,25.032154221892668,46.477792008195664,23.253811626336528
2020-11-17,24.714162240982418,46.14595395130336,22.951536842247975
2020-11-18,25.0038899366539,46.50126838944297,23.392384739743875
2020-11-19,23.997295053334522,45.93880521786531,22.68035469580425
2020-11-20,24.466994733676483,46.694173230050495,23.54855748154021
2020-11-23,25.335353079280786,47.87352621379832,24.97177802597166
2020-11-24,25.994286302091396,48.33952310512417,25.37579928155338
2020-11-25,25.27742899171188,47.6157580797246,24.78035659898703
2020-11-26,25.633315448379747,48.212879804858574,25.25963999990548
2020-11-27,25.563545832241697,48.17033956510812,25.13679058453031
2020-11-30,25.4356882930292,47.95346124710073,24.98050241386114
2020-12-01,25.97128981463319,48.41312590620528,25.50877750652063
2020-12-02,26.2815730986135,48.73412426578898,25.851866580585202
2020-12-03,25.967332845946967,48.266570798949296,25.70755877280817
2020-12-04,26.911682312237172,48.96312609461431,26.21901259620769
2020-12-07,27.877161958697293,50.08110195229642,26.967217804829225
2020-12-08,27.972746735347688,50.33319707675261,26.967460155428903
2020-12-09,28.086533414063574,49.80226362511584,26.856893029086248
2020-12-10,29.94817062976931,52.22880170794528,27.939027103252336
2020-12-11,29.848370595443896,51.63928611963544,27.860434592248673
2020-12-14,29.29668802046288,50.52053424093403,27.272176818963946
2020-12-15,28.924235648677655,50.15569973287211,27.199226329626637
2020-12-16,29.61165282798057,50.56822249537887,27.50897005169599
2020-12-17,29.92978335131209,50.99327835518588,27.668741820492105
2020-12-18,30.009963646070716,50.96363199000751,27.75905527627924
2020-12-21,27.943205030349304,49.045869444455484,26.00168374961371
2020-12-22,28.45608070783616,49.606578394197776,26.671598981672528
2020-12-23,28.96791344407159,50.17386475011283,27.17575393481766
2020-12-24,30.06209705272507,51.94452464957558,28.052170673936395
2020-12-25,30.131049116068233,51.75869331484735,27.931196142789716
2020-12-28,30.007461861325524,52.389147397941116,28.67863962541122
2020-12-29,29.032993321054022,50.467345670742716,28.004664050852934
2020-12-30,29.153216397572358,50.760855093905136,28.223019999635635
2020-12-31,28.55221555269898,50.17225785727768,28.063746348220377
2021-01-01,28.520286465686006,50.21051366257752,28.244413515481305
2021-01-04,28.981931063310352,50.93847705125998,28.82264425099803
2021-01-05,28.91645808558325,51.24744985357745,28.934871252199713
2021-01-06,29.225641365642762,52.26538102490083,29.32272799075495
2021-01-07,29.574829257572553,53.212088630461054,29.869483354881865
2021-01-08,30.64980348785522,53.313748932242035,30.401859414320143
2021-01-11,30.719843960065617,53.32267402406774,30.6241206929178
2021-01-12,31.36161320222883,53.707890720105866,30.65496497245683
2021-01-13,32.95489351393592,55.112232824450636,31.378513191044235
2021-01-14,33.25650750451237,56.01061431841203,31.66619227686209
2021-01-15,34.253311337909075,56.99176227551344,31.56768393792926
2021-01-18,32.75243108425434,55.113909112192495,30.44153745468241
2021-01-19,33.30835776307348,55.37110616834055,31.110453089687983
2021-01-20,33.92648226732548,58.45743953874376,32.22198967194916
2021-01-21,32.68241416249047,55.564728014689194,31.091349664380317
2021-01-22,32.704968701895694,59.37198316533223,31.84171194868277
2021-01-25,32.66241374227599,59.38134016943781,31.70510335664489
2021-01-26,33.030314817493455,64.3498130854122,32.875040812052035
2021-01-27,31.64526061796762,62.25553201916212,32.05263143748549
2021-01-28,31.85204925955112,63.510400985852414,31.967252866321672
2021-01-29,30.823085997188393,61.94461195559335,31.285876681298518
2021-02-01,33.52567136548588,68.00586622763352,33.928625821752135
2021-02-02,34.526661537347955,65.8545158653662,34.28928442372041
2021-02-03,34.75137070182248,64.56485581025444,34.642035752188605
2021-02-04,36.03677582911511,66.07122653776231,35.24271177616547
2021-02-05,34.53114030628777,62.22261494134731,34.553329097115395
2021-02-08,35.01580427639925,61.73113770195893,34.97009413934957
2021-02-09,34.770498727091194,60.63447402353028,34.751392893284546
2021-02-10,34.3471150191925,58.77877755711496,34.40943252081057
2021-02-11,34.573841857360385,60.17450339043504,34.90117885408461
2021-02-12,34.52914964392087,61.81156454590988,35.19737470485846
2021-02-15,34.68787425346675,60.20062330681104,35.213249688189904
2021-02-16,35.02872472385572,60.03389703357958,35.38721729972711
2021-02-17,35.400715855423236,60.72589245736331,35.43274999019195
2021-02-18,35.163601701382106,57.55985927437379,34.82027442529909
2021-02-19,34.67617381396446,57.22978311932776,34.20002484296065
2021-02-22,34.394467334955834,59.3984732778013,34.09354650981336
2021-02-23,34.82413176197283,59.33949062608859,34.3420981257488
2021-02-24,35.274569666506814,61.10125606976609,35.12318618602197
2021-02-25,36.303528662416575,62.466682348774924,35.845726901305056
2021-02-26,34.83454945752263,61.6973321893977,34.41495775650989
2021-03-01,35.98037713144604,64.24847417818246,35.55357248056059
2021-03-02,36.77341348013159,66.58073403972735,36.52043194658701
2021-03-03,37.74951015339341,67.43082605763706,37.23918071280441
2021-03-04,38.07463397202315,71.08160895435951,37.673508263370614
2021-03-05,37.33326150981664,71.21972190857892,37.26705530881254
2021-03-08,37.8120682734993,75.06635510917543,37.98241486356011
2021-03-09,37.28540767011357,70.66048691870634,37.32278022897193
2021-03-10,37.49330874385659,70.29884012343861,37.53324673927418
2021-03-11,37.148641411041815,67.72000205219986,37.083412084839296
2021-03-12,35.87171452307081,65.02806829486335,36.262666160000975
2021-03-15,35.595423173686804,63.230831966792444,35.80916546187818
2021-03-16,35.77970616513977,62.665345086102775,35.71527945294824
2021-03-17,34.88735500496225,61.87552591524326,34.86123698829311
2021-03-18,34.171418624575956,58.579383705278666,33.93025471647697
2021-03-19,35.32066742318616,59.97916482786161,34.7126705759087
2021-03-22,35.731988306102494,60.775083694474354,35.10935317889536
2021-03-23,35.43546143406952,59.45775889441458,35.04090860993712
2021-03-24,34.52899499790247,55.88101771489444,33.70141914266376
2021-03-25,33.42822469892359,54.857149073549834,32.78039379726132
2021-03-26,34.59770942142859,56.01506774242768,33.500000145343776
2021-03-29,34.52989117986214,55.438362749723204,33.413480942252335
2021-03-30,35.37961564406436,56.48536624243113,34.340262505321675
2021-03-31,35.1396910104542,55.351921347022405,33.970247008072874
2021-04-01,35.541979189641125,55.43280539611142,34.60905769394087
2021-04-02,36.074078000572676,58.41214248266455,35.27208384860177
2021-04-05,35.233761674067374,56.54797610222957,34.46196480696597
2021-04-06,35.13537758004526,54.5445357275477,34.37628453054364
2021-04-07,35.00875100657759,52.53593180817499,34.250101866537385
2021-04-08,35.04792060970365,52.722983281869375,34.539058672034884
2021-04-09,33.70640810920176,51.49164451875008,34.19610250183116
2021-04-12,31.380142319321113,49.39834235094103,32.333659931453404
2021-04-13,32.61792222880469,51.909885768409424,33.497898814195295
2021-04-14,32.85629495084032,48.966988047085195,32.79049689096707
2021-04-15,32.04542241511972,47.92657055065619,32.56438708586629
2021-04-16,32.21710344954665,47.84161432586074,32.825883989327956
2021-04-19,30.997076480819906,45.48914165218678,31.617768663171454
2021-04-20,31.18173358758034,46.49222711692615,32.060406616579115
2021-04-21,31.412765351405668,46.013070107107644,31.92969491519877
2021-04-22,31.082338221032877,45.90885457178122,32.05754370677696
2021-04-23,30.550598221193347,45.21113052371861,31.77327063459463
2021-04-26,30.60197204599129,45.567032965949686,32.093912379004806
2021-04-27,30.67410531099748,46.41047518635071,32.637228515361016
2021-04-28,31.504648328816366,48.13344934226451,33.47749695624851
2021-04-29,30.620968189710474,46.91857220463553,33.215076919852415
2021-04-30,30.199074016617388,46.1281184256308,32.78094810356558
2021-05-03,29.919520547356537,45.38818123502868,32.61421575076504
2021-05-04,30.041671264692017,44.59980865736979,32.16215940113622
2021-05-05,30.942847543370423,44.81077758561651,32.55823440963543
2021-05-06,30.609112095382727,45.1136568412434,32.86205814022003
2021-05-07,30.934364461465226,45.28727561669257,33.154124417760286
2021-05-10,31.500865324742165,46.400540780625036,33.9049637098445
2021-05-11,31.465867170727925,46.644510492637025,33.88372063892084
2021-05-12,30.884626963003402,45.57132452692289,33.125130236003855
2021-05-13,31.40328522860043,46.78993599820684,33.568620866617294
2021-05-14,31.48873509172949,46.62734898830365,33.22421400882107
2021-05-17,31.90248953162682,46.5899792679276,33.540988783648594
2021-05-18,32.14246491871646,47.233755657100595,34.16863296850578
2021-05-19,32.076428314253214,47.28313027899489,34.19315865202073
2021-05-20,31.869391045584994,47.311234155216006,33.9946008338236
2021-05-21,32.18603252445824,48.092185799005314,34.57721559938734
2021-05-24,32.097012280850244,48.132283410760635,34.57166388505619
2021-05-25,31.672344861988044,45.79452124366592,33.89972146866871
2021-05-26,32.05560590702419,45.7179779114196,33.95255024676202
2021-05-27,31.688024231931045,44.61967489211847,33.593049365379635
2021-05-28,32.071855420346736,45.00227025475807,33.73065260457009
2021-05-31,32.50620198570584,45.26022595197106,34.0638019179117
2021-06-01,32.703234747922494,45.847892788377955,34.36707609584677
