X_pct,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
10.0,19.61,20.95,19.07,20.66,18.71,18.86,17.42,19.06,21.08,19.39,21.5
11.0,19.83,19.96,20.63,17.76,20.5,19.07,19.11,20.54,18.78,18.71,18.93
12.0,19.49,21.03,21.47,19.04,19.35,18.93,19.02,19.67,18.3,17.26,17.64
13.0,18.99,16.98,19.09,18.27,17.27,19.8,18.82,20.21,20.07,19.54,18.36
14.0,19.71,16.74,19.15,17.96,19.01,18.87,17.54,17.65,19.51,19.45,17.89
15.0,18.45,18.88,18.64,16.81,19.34,18.4,18.58,19.56,17.54,17.48,17.61
16.0,18.51,17.27,17.87,15.78,16.92,18.39,17.8,19.18,17.76,18.85,17.7
17.0,17.93,17.72,19.71,16.58,17.76,17.82,19.76,17.08,18.7,18.79,17.69
18.0,18.22,17.0,18.45,17.77,17.34,19.29,18.24,17.69,18.34,18.75,18.89
19.0,18.09,18.02,18.12,16.84,17.13,16.94,18.68,20.22,19.46,18.64,17.96
20.0,17.5,17.88,17.86,17.5,17.53,17.67,17.84,18.78,19.57,18.1,18.68
