X_pct,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
10.0,19.63,20.96,19.09,20.68,18.72,18.88,17.43,19.07,21.1,19.4,21.52
11.0,19.85,19.98,20.65,17.78,20.52,19.09,19.12,20.56,18.79,18.72,18.95
12.0,19.5,21.05,21.49,19.06,19.37,18.94,19.03,19.68,18.31,17.28,17.65
13.0,19.01,16.99,19.1,18.28,17.29,19.81,18.84,20.22,20.09,19.55,18.37
14.0,19.72,16.75,19.16,17.97,19.03,18.89,17.55,17.66,19.52,19.47,17.9
15.0,18.46,18.9,18.65,16.83,19.35,18.41,18.6,19.57,17.55,17.49,17.63
16.0,18.53,17.28,17.88,15.8,16.94,18.4,17.82,19.19,17.77,18.87,17.72
17.0,17.94,17.73,19.73,16.59,17.78,17.83,19.77,17.09,18.71,18.8,17.71
18.0,18.24,17.01,18.47,17.79,17.35,19.31,18.25,17.71,18.36,18.77,18.9
19.0,18.11,18.03,18.13,16.85,17.15,16.95,18.7,20.24,19.47,18.65,17.97
20.0,17.51,17.89,17.88,17.51,17.54,17.68,17.85,18.79,19.59,18.11,18.69
