X_pct,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
10.0,30.58,30.22,29.37,28.89,28.3,27.67,27.38,26.89,26.7,26.54,26.15
11.0,30.23,29.75,29.06,28.28,27.85,27.32,26.83,26.21,25.88,25.84,25.71
12.0,30.3,29.7,29.16,28.79,28.14,27.39,27.06,26.17,25.84,25.66,25.22
13.0,30.03,29.09,28.36,27.92,27.13,26.73,26.49,25.91,25.56,25.31,25.23
14.0,30.83,30.01,29.66,28.99,27.75,27.36,26.93,26.01,25.72,25.51,25.24
15.0,30.69,30.36,29.57,28.77,27.68,27.06,26.67,26.12,25.82,25.35,25.32
16.0,30.32,29.75,29.4,28.94,27.92,27.49,27.0,26.55,26.36,26.39,26.35
17.0,29.79,28.87,28.02,27.93,27.52,27.28,26.31,25.98,25.53,25.44,25.21
18.0,29.31,28.35,27.59,27.39,27.04,27.14,26.53,25.95,25.39,25.15,24.92
19.0,28.63,27.62,27.12,26.68,26.28,25.84,25.23,24.83,24.34,24.25,23.52
20.0,28.53,27.5,27.01,26.78,26.47,25.99,25.21,25.26,25.16,24.53,24.35
