X_pct,Y_pct,XIRR_pct,CAGR_pct,TotalReturn_pct,NumTrades,OpenPositions,WinRate_pct,AvgHoldingDays,MaxDrawdown_INR,MaxCapitalDeployed_INR,GrossInvested_INR,GrossReturned_INR,TerminalMTM_INR,NetPnL_INR
10.0,10.0,20.031500476586807,30.584253194910517,126.4286542740455,487,38,94.28571428571428,200.435318275154,-148938.79999290482,401528.7591933898,5250000.0,5757647.406771475,336492.8782001975,507647.40677147545
10.0,11.0,20.994676951311323,30.219886127302974,134.2029471524292,467,38,94.05940594059405,213.813704496788,-147989.6282242784,400699.3636477844,5050000.0,5587750.355236356,336524.65415304387,537750.3552363561
10.0,12.0,21.196285821981785,29.371723337496846,135.21251329902938,441,40,93.76299376299376,227.15419501133786,-148369.13204270625,410672.164104277,4810000.0,5365280.154504907,358120.0949048473,555280.1545049073
10.0,13.0,21.46487134761904,28.89108004646026,138.6271547642691,419,41,93.26086956521739,242.8329355608592,-146116.87141037223,410641.7825517018,4600000.0,5169261.019424701,369116.7993818885,569261.0194247011
10.0,14.0,21.287289919072723,28.296256960755862,140.24970787383222,394,42,92.88990825688074,261.6472081218274,-147013.39033043224,410628.4148070231,4360000.0,4935905.152213798,380517.9274009835,575905.1522137979
10.0,15.0,21.081431910432684,27.668846521019663,140.4155382554031,371,44,92.53012048192771,279.61725067385447,-149049.90370792785,413251.95444338024,4150000.0,4730269.956182646,403013.40041687,580269.9561826456
10.0,16.0,21.447890092161202,27.383650974472573,145.17951189318708,359,44,92.3076923076923,293.79944289693594,-150031.49129815015,413671.47031533584,4030000.0,4630566.221445175,403013.40041687,600566.2214451749
10.0,17.0,21.141536091135873,26.88530805732352,146.17468428571547,342,44,91.96891191709845,311.94444444444446,-152510.53207998778,414935.2551175286,3860000.0,4466530.2991581755,403436.1652208011,606530.2991581755
10.0,18.0,21.30555217215864,26.702612244832146,149.16497159824223,333,45,92.06349206349206,322.5075075075075,-156730.02180452723,414515.6657500732,3780000.0,4398312.175086361,415410.6874505693,618312.1750863614
10.0,19.0,21.825683154640398,26.54190878994036,154.11512406404725,323,46,92.14092140921409,336.0495356037152,-156465.01751444343,412934.9541199278,3690000.0,4326395.216845743,427614.768264853,636395.2168457434
10.0,20.0,21.565862110653068,26.146908972006266,154.89797571284416,309,46,92.11267605633803,353.42071197411,-156203.88443964912,412485.32869520894,3550000.0,4188931.42426135,428916.61752187525,638931.4242613502
11.0,10.0,20.975738103993912,30.228060203786544,124.5493977971201,478,35,94.54191033138402,192.0774058577406,-148401.41663608298,403675.14976622286,5130000.0,5632774.968090453,308911.43363479845,502774.9680904532
11.0,11.0,21.442199084620945,29.746008737829932,129.80569129409838,456,35,94.29735234215886,206.58991228070175,-148342.5603180214,404158.2056060703,4910000.0,5434620.352708783,309161.2030294825,524620.352708783
11.0,12.0,21.203698753518534,29.0624083200266,131.02059419627255,424,38,93.93939393939394,223.46698113207546,-148281.8280176483,403633.44539458636,4620000.0,5148842.938530874,340847.55735973973,528842.9385308744
11.0,13.0,21.638618452062452,28.27774426199907,132.6807466779354,405,38,93.67945823927766,239.5530864197531,-145835.93734517976,414939.1742676472,4430000.0,4980544.394677574,340859.0247934865,550544.3946775738
11.0,14.0,21.83285055677952,27.854420211968133,135.93135848774565,386,40,93.42723004694837,250.68393782383419,-146732.32668700605,415436.763754232,4260000.0,4824708.836628654,363285.0202318813,564708.836628654
11.0,15.0,21.9500744500412,27.31978456100972,137.83698005871224,362,43,93.08641975308643,269.4033149171271,-146705.6446805206,414977.11960582004,4050000.0,4621991.929599293,397009.025961764,571991.9295992926
11.0,16.0,21.63788383091525,26.834909050076504,138.8234470843155,345,43,92.78350515463917,287.74782608695654,-152854.23735751107,415703.47852400754,3880000.0,4457093.898536434,397009.025961764,577093.8985364344
11.0,17.0,21.17168468034233,26.206813063973012,138.2689160889023,324,44,92.3913043478261,308.74691358024694,-153074.7552681397,417191.63844331726,3680000.0,4256846.356489107,408590.1762565415,576846.356489107
11.0,18.0,20.95384657852111,25.882207342700482,139.39979114316722,314,44,92.17877094972067,324.6783439490446,-153458.56922945468,418680.0185982085,3580000.0,4163639.0714840763,407813.07229889807,583639.0714840763
11.0,19.0,21.323555280911798,25.836226636136693,144.9798602268366,307,46,92.06798866855524,334.44625407166126,-155107.2443750335,417322.23989819246,3530000.0,4135033.200099903,430834.8085658936,605033.2000999032
11.0,20.0,21.49518264998588,25.711085534334565,148.77505738893177,301,46,91.93083573487031,346.19933554817277,-156758.7904484809,416924.8909932687,3470000.0,4090280.2458439767,431265.70445242047,620280.2458439767
12.0,10.0,21.784380829271736,30.296673968701416,126.87830107686584,461,32,94.52332657200812,186.39696312364424,-145547.91644598238,386409.34301608976,4930000.0,5420269.609621094,280957.0617450235,490269.6096210936
12.0,11.0,21.553419346456366,29.69624786426852,130.09062696555057,435,33,94.23076923076923,202.40919540229885,-146432.33926769468,386953.34653456404,4680000.0,5183390.034570994,291397.2357163787,503390.03457099386
12.0,12.0,21.282513632896453,29.159312758151557,132.09072416919014,407,37,93.91891891891892,218.1965601965602,-148134.72655021798,385041.2606524004,4440000.0,4948603.789545935,334362.80067366664,508603.78954593465
12.0,13.0,21.493968537922758,28.787563380330504,136.48873686982435,390,38,93.69158878504673,231.35384615384615,-145807.91474760842,384794.0913286747,4280000.0,4805200.594804226,345357.51777615905,525200.5948042264
12.0,14.0,21.520132582864246,28.140351673735896,139.12131318636747,366,38,93.31683168316832,250.82513661202185,-145063.7698524157,385342.5777863981,4040000.0,4576093.654482637,345060.61043002695,536093.6544826366
12.0,15.0,21.713178246052266,27.385693475675343,138.5969296511968,350,39,93.05912596401028,267.57428571428574,-148098.68580293466,396548.4012698926,3890000.0,4439603.908740979,356279.9953891606,549603.9087409787
12.0,16.0,21.886206539865302,27.063697210922854,141.52310655074217,335,41,92.81914893617021,281.1850746268657,-150692.6405103162,395741.3299496695,3760000.0,4320065.424049995,379005.9413049908,560065.4240499949
12.0,17.0,20.876613107935942,26.17206752775627,137.604578072948,309,42,92.3076923076923,311.92880258899675,-152484.98730771072,398884.90065511403,3510000.0,4058883.8845431674,390615.39278806787,548883.8845431674
12.0,18.0,20.64521469762232,25.837646402359216,139.2553733785263,299,42,92.08211143695014,328.6989966555184,-151579.19128596206,400373.2808100053,3410000.0,3967541.3070998285,390615.39278806787,557541.3070998285
12.0,19.0,20.81240640884321,25.65678580033257,143.03974153186866,289,44,91.8918918918919,338.85121107266434,-152662.97796396408,399376.9162282727,3330000.0,3901267.708710869,414114.9517641885,571267.7087108688
12.0,20.0,20.407518734352298,25.222925516141782,142.29694513131932,277,43,91.5625,358.1913357400722,-156007.94924127607,399301.13631993986,3200000.0,3768193.3188579194,403222.88000702753,568193.3188579194
13.0,10.0,21.65834744403197,30.032986316610533,122.28363727106827,428,32,94.34782608695652,186.93691588785046,-145216.37076569686,371093.0782803529,4600000.0,5053786.113782388,283387.9740080565,453786.11378238816
13.0,11.0,21.5531563195224,29.088032449937295,121.99857460437056,404,33,94.05034324942791,202.5371287128713,-145861.8246698133,381795.4522880977,4370000.0,4835785.009695789,293828.14797941176,465785.00969578885
13.0,12.0,21.081624774355813,28.35854980431618,123.38523001627041,374,35,93.64303178484109,223.17914438502675,-148049.08283515897,380889.0996482588,4090000.0,4559960.891707906,315592.1175293484,469960.89170790557
13.0,13.0,20.896755651877083,27.924064771758307,126.65515056635289,357,36,93.38422391857506,238.28571428571428,-145673.01583147037,381241.95921774674,3930000.0,4412862.577469351,326708.6902135149,482862.57746935077
13.0,14.0,20.45247554448361,27.132479326807402,126.05875423779487,332,36,92.93478260869566,262.6596385542169,-149372.0975515933,382475.29448267317,3680000.0,4162143.591492195,326441.8549314974,482143.59149219515
13.0,15.0,20.554980512959922,26.73323484276411,128.68914876228501,318,36,92.65536723163842,280.751572327044,-149617.00409774695,382283.50371566194,3540000.0,4031957.3867903235,326441.8549314974,491957.38679032354
13.0,16.0,20.930330969174598,26.494510686104576,133.41647776047077,304,39,92.4198250728863,294.5296052631579,-150173.7060263008,380393.8958094287,3430000.0,3937508.137404775,359392.95666235406,507508.1374047748
13.0,17.0,20.31768024154666,25.908363433443693,132.3846680616555,286,41,92.04892966360856,317.6748251748252,-151814.11576600888,382005.1487863345,3270000.0,3775716.248199222,382248.8155990267,505716.24819922214
13.0,18.0,20.181381534433537,25.560506443036534,133.93699307805204,274,42,91.77215189873418,337.1970802919708,-150747.66489275143,381810.2494424574,3160000.0,3671385.1673670374,393854.89899373375,511385.1673670374
13.0,19.0,20.545380355489378,25.308538876616595,137.27180351734756,263,44,91.53094462540716,348.8022813688213,-152298.46701769216,381231.6221785757,3070000.0,3593323.523342971,417555.0147199675,523323.5233429712
13.0,20.0,20.76731792000974,25.23327478857076,141.2739087099085,259,44,91.41914191419141,359.9111969111969,-152303.5665004488,380811.9984900366,3030000.0,3567987.9951031925,417555.0147199675,537987.9951031925
14.0,10.0,22.88618852594216,30.826202393700285,129.2570399197838,417,31,94.41964285714286,176.9136690647482,-144054.60696446762,345578.6291587322,4480000.0,4926684.706645944,276493.85474016576,446684.70664594416
14.0,11.0,22.54048813464775,30.009786391136917,129.6442754009507,386,32,94.01913875598086,196.79533678756476,-144450.9702145685,345337.47936263314,4180000.0,4627710.272807593,286782.16439352505,447710.27280759346
14.0,12.0,22.959442642560028,29.663918269459355,135.64241470039886,371,32,93.79652605459057,209.78167115902966,-144224.1505919144,344570.6419351482,4030000.0,4497383.9390695,286762.6154002232,467383.9390695002
14.0,13.0,22.320945347414415,28.99151040943515,137.08535282451462,348,33,93.43832020997375,229.23275862068965,-146058.1161180766,345510.69122149015,3810000.0,4283644.550107399,297924.31216628785,473644.550107399
14.0,14.0,21.28965533852564,27.745222064527542,131.54158264949055,320,35,92.95774647887323,253.603125,-146111.86890581943,356869.8586358754,3550000.0,4019432.26004863,319561.7733090153,469432.2600486302
14.0,15.0,21.318915219802488,27.357717697314477,134.63474545181884,307,35,92.69005847953217,271.214983713355,-146342.65801522954,356869.8586358754,3420000.0,3900470.8257686766,319496.9660790545,480470.8257686766
14.0,16.0,21.100913520301457,26.933018708764255,136.1380394692427,291,37,92.3780487804878,291.03092783505156,-149573.10535919364,356012.5562708883,3280000.0,3764668.514371522,341488.2556036872,484668.5143715218
14.0,17.0,20.83721293852443,26.009450057063965,132.366561174469,275,38,91.69329073482429,312.12,-150019.07235306414,367623.8092477941,3130000.0,3616610.9943598947,352913.0905528556,486610.99435989466
14.0,18.0,20.950985561343373,25.72023033608135,134.7449537814052,264,40,91.44736842105263,325.6969696969697,-149133.88491957847,367623.8092477941,3040000.0,3535354.5318603814,375607.9294096753,495354.53186038136
14.0,19.0,21.17133211509309,25.512290460585096,138.17162424669706,255,42,91.24579124579124,342.2901960784314,-150738.00419475822,367623.8092477941,2970000.0,3477951.7883552564,398890.07483068114,507951.78835525643
14.0,20.0,20.966558959578162,25.241677102873172,139.9536052674097,247,42,91.00346020761245,359.88663967611336,-152614.0042508663,367623.8092477941,2890000.0,3404502.774863673,398890.07483068114,514502.7748636729
15.0,10.0,24.278900635462286,30.69193435402586,125.3585637256662,403,30,94.45727482678984,169.19602977667495,-141854.34713264648,346642.1987691984,4330000.0,4764545.681644136,269157.1395339618,434545.6816441361
15.0,11.0,25.041769813762997,30.360452268316696,131.06326678922528,387,32,94.27207637231504,180.08010335917314,-142968.66085161298,346375.9809838199,4190000.0,4643971.67605062,290068.95280219533,453971.67605062015
15.0,12.0,24.367859362925664,29.569158426612653,131.85946887117896,361,32,93.63867684478372,198.61218836565098,-142750.0588207424,347392.2243353744,3930000.0,4388069.541908399,289633.7885928819,458069.5419083992
15.0,13.0,23.3849983589473,28.773688926321196,130.95505949265583,337,32,93.22493224932249,219.5074183976261,-141626.9944303116,348678.21601722424,3690000.0,4146611.765223287,289633.7885928819,456611.76522328705
15.0,14.0,22.624921011017932,27.678735384079523,128.72635667814617,311,35,92.77456647398844,242.7459807073955,-141803.60972872868,358501.52294561116,3460000.0,3921485.9491235535,322462.38996040204,461485.94912355347
15.0,15.0,22.164128726606723,27.05592154122747,128.8314145981889,294,35,92.40121580547113,263.7925170068027,-142505.7774569822,360000.0,3290000.0,3753793.09255348,322462.38996040204,463793.09255348006
15.0,16.0,22.091890160082297,26.67194705790823,131.71940584833217,281,36,92.11356466876973,280.8220640569395,-145924.70801190837,360000.0,3170000.0,3644189.861053996,333929.16662947036,474189.8610539958
